ユーザー名,投稿内容,投稿時間,タグ,いいね数,緯度,経度,位置情報名
匿名,バスの増便,2025/12/3 9:27,,1,,,
匿名,特にない,2025/12/3 9:27,,1,,,
匿名,昼休みが短い,2025/12/3 9:27,,1,,,
匿名,バス停での抜かしがえぐい,2025/12/3 9:27,,1,,,
匿名,高校でも合唱コンクールをやりたいです！お願いします！！,2025/12/3 9:27,,3,,,
匿名,時計の時間が狂っているのを直して欲しい,2025/12/3 9:27,,1,,,
匿名,机に引き出しが欲しい ,2025/12/3 9:27,,1,,,
匿名,バスの本数を増やして欲しい。 Wi-Fi状況が悪い。,2025/12/3 9:27,,1,,,
匿名,帰りのバスが少ない,2025/12/3 9:27,,1,,,
匿名,帰りと行きのバスを増やして欲しい,2025/12/3 9:27,,1,,,
H3502芦邉七海,特にない,2025/12/3 9:27,,1,,,
匿名,食堂のレジをもっと増やしてほしい、あと並ぶ場所をもっと整備して欲しい。,2025/12/3 9:27,,1,,,
匿名,時計が狂っているところがまあまあある,2025/12/3 9:27,,2,,,
匿名,体操服で授業を受けさせてほしい,2025/12/3 9:27,,1,,,
匿名,プロジェクターで時計が見にくいので教室に時計が2つ欲しい,2025/12/3 9:27,,1,,,
匿名,球技大会が欲しい,2025/12/3 9:27,,1,,,
匿名,登下校だけでもはにわさせてほしい,2025/12/3 9:27,,1,,,
匿名,食堂が長い,2025/12/3 9:27,,1,,,
匿名,駐輪場の清掃、蜘蛛の巣とか汚れとか見るに耐えない 汚い駐輪場から始まる学校生活嫌,2025/12/3 9:26,,2,,,
匿名,授業体操服でうけたい,2025/12/3 9:26,,1,,,
H2924安田奏音,自習室の椅子硬いから変えてほしーです,2025/12/3 9:26,,1,,,
匿名,食堂、購買の行列をどうにかして無くしたいです。,2025/12/3 9:26,,1,,,
匿名,食堂の待ち時間が長い,2025/12/3 9:26,,1,,,
匿名,テストの帰りのバスを増やして欲しい。,2025/12/3 9:26,,1,,,
匿名,時計が見にくい,2025/12/3 9:26,,1,,,
匿名,机に引き出しをつけて欲しい,2025/12/3 9:26,,1,,,
匿名,教室の時計が蛍光灯の反射で何も見えない,2025/12/3 9:26,,0,,,
匿名,食堂の待ち時間短縮,2025/12/3 9:26,,0,,,
匿名,文化祭や体育祭の行事の時だけでもスマホ利用を認めてほしい！ 思い出を残したい！,2025/12/3 9:26,,1,,,
匿名,バスめっちゃ並ぶ,2025/12/3 9:26,,0,,,
H3528西村琉生,暖房強くしてほしい,2025/12/3 9:26,,0,,,
匿名,カフェテリア混みすぎ,2025/12/3 9:26,,0,,,
匿名,学校内ではにわがだめでも登校のときはオッケーにして欲しい。,2025/12/3 9:26,,0,,,
匿名,食堂の待ち時間が長い,2025/12/3 9:26,,0,,,
匿名,人が足りていないので食堂の店員さんの数を増やして欲しい,2025/12/3 9:26,,0,,,
匿名,全ての連絡が遅い。そのせいでスケジュールが組みづらい。 ,2025/12/3 9:26,,1,,,
匿名,自習室の椅子を改善して欲しい,2025/12/3 9:26,,0,,,
匿名,民度,2025/12/3 9:26,,3,,,
匿名,Wi-Fi接続が重い時があるのでスムーズに出来るようになってほしい,2025/12/3 9:26,,1,,,
匿名,身だしなみが乱れている人がいるので、制服に関する規定を戻した方がいいと思う。,2025/12/3 9:26,,1,,,
匿名,エアコンを使える期間が短い,2025/12/3 9:26,,0,,,
匿名,日曜日も教室あけてほしい,2025/12/3 9:26,,0,,,
匿名,スマホの許可,2025/12/3 9:26,,0,,,
匿名,バスの順番を抜かされる。,2025/12/3 9:26,,1,,,
匿名,キッチンカーを呼んで欲しい,2025/12/3 9:26,,0,,,
匿名,食堂のレジが足りない,2025/12/3 9:26,,1,,,
匿名,テストの日のバスがなかったから、バスの時間を見直して欲しい,2025/12/3 9:26,,0,,,
匿名,食堂時間かかる,2025/12/3 9:26,,0,,,
匿名,バスの待ち時間が長い,2025/12/3 9:26,,0,,,
匿名,スカートの防寒対策,2025/12/3 9:26,,0,,,
匿名,行事の際にスマホを使えないこと,2025/12/3 9:26,,0,,,
匿名,バスの本数を増やしてほしい,2025/12/3 9:26,,0,,,
匿名,食堂の並ぶ時間が長い,2025/12/3 9:26,,0,,,
匿名,バスの本数が少なくて行列ができてしまうこと。,2025/12/3 9:26,,0,,,
匿名,購買、食堂、ばすの列長い,2025/12/3 9:26,,0,,,
匿名,購買を広くする,2025/12/3 9:26,,0,,,
匿名,土日のバスを増便してほしい,2025/12/3 9:26,,0,,,
匿名,FT自習室の椅子を変えて欲しい,2025/12/3 9:26,,0,,,
匿名,行事の時はスマホを使えるようにしてください。,2025/12/3 9:26,,0,,,
匿名,大人じゃない。そういう雰囲気の人に流される。,2025/12/3 9:26,,0,,,
匿名,スカートの下にズボンを履く,2025/12/3 9:26,,0,,,
H3107掛田花,食堂の回転を早くして欲しい,2025/12/3 9:26,,0,,,
匿名,携帯使いたいです,2025/12/3 9:25,,0,,,
匿名,バスが少ない,2025/12/3 9:25,,0,,,
匿名,食堂の待ち時間が長い。,2025/12/3 9:25,,0,,,
匿名,バスの順番抜かしが多い,2025/12/3 9:25,,1,,,
匿名,食堂がすごく混んでいる事,2025/12/3 9:25,,0,,,
匿名,バスの本数を全体的に増やしてほしい(特に土日)。,2025/12/3 9:25,,0,,,
匿名,二学期、三学期文化祭後ひま,2025/12/3 9:25,,0,,,
匿名,バス停の並び改善,2025/12/3 9:25,,0,,,
匿名,ネット環境改善 ,2025/12/3 9:25,,0,,,
匿名,私服登校ありにして,2025/12/3 9:25,,0,,,
匿名,バスの遅延がしっかり判断できるようにして、その遅刻は無効にして欲しい,2025/12/3 9:25,,1,,,
匿名,スマホ触りたい,2025/12/3 9:25,,0,,,
匿名,購買のものが少ない。,2025/12/3 9:25,,0,,,
匿名,腹を空かして食堂に並んでいるときに割り込まれるとマジで腹が立ちますね,2025/12/3 9:25,,0,,,
匿名,キッチンカー呼んで欲しい！！そしたら購買や食堂の列も解消される上に競争が生まれて両者がより良い場となる！！,2025/12/3 9:25,,1,,,
匿名,バスの順番抜かしをなくして欲しい,2025/12/3 9:25,,2,,,
匿名,学校の廊下にある時計が大体狂ってるのが困る。特に一階フロアの時計。,2025/12/3 9:25,,1,,,
匿名,文化祭他学年との交流少ない,2025/12/3 9:25,,1,,,
匿名,朝7時のバスと休日の19時のバスを増やしてほしい,2025/12/3 9:25,,2,,,
匿名,土日のバス少ない,2025/12/3 9:24,,1,,,
匿名,行動しない人にもっと厳しくしてください,2025/12/3 9:24,,0,,,
匿名,冷房、暖房の温度を変更できるようにしてほしい,2025/12/3 9:24,,1,,,
匿名,はにわがだめなこと,2025/12/3 9:24,,1,,,
匿名,購買のご飯がすぐなくなる,2025/12/3 9:24,,0,,,
匿名,プロジェクターが見づらいことがある,2025/12/3 9:24,,0,,,
匿名,行事を増やしてほしい。2学期後半からすることなくなる,2025/12/3 9:24,,1,,,
匿名,行事を増やしてほしい 球技大会とか,2025/12/3 9:24,,1,,,
匿名,自習室のイス使いにくい,2025/12/3 9:24,,0,,,
匿名,イベント事が文化祭以降に何も無くて楽しみがない,2025/12/3 9:24,,0,,,
匿名,食堂のレジたりない,2025/12/3 9:24,,0,,,
匿名,バス長め,2025/12/3 9:24,,0,,,
匿名,廊下やフロアで作業することもあるから、廊下とかでもWi-Fiがしっかり繋がるようにしてほしい。,2025/12/3 9:24,,1,,,
匿名,時計の位置がプロジェクターで見えにくい,2025/12/3 9:23,,1,,,
匿名,食堂の並ぶ時間が長すぎる。 購買が狭い ,2025/12/3 9:23,,0,,,
匿名,購買の並ぶ時間が長い,2025/12/3 8:56,,0,,,
匿名,食堂の待ち時間短縮,2025/12/3 8:28,,0,,,
匿名,文化祭が終わった後の2.3学期がちょっと暇。 学校に行きたくなる楽しいことが他にもほしい！,2025/11/21 15:48,,1,,,
匿名,駐輪場の蜘蛛の巣を掃除してほしい。,2025/11/18 9:24,,2,,,
匿名,バスの順番抜かしが多いのと列が長いので改善して欲しい,2025/11/18 1:09,,0,,,
匿名,部活の鍵を職員室で借りられるようにして欲しい,2025/11/18 1:08,,0,,,
匿名,学校内の時計の数を増やして欲しい,2025/11/18 1:07,,1,,,
匿名,食堂の待ち時間が長い。 レジの数を増やして欲しい。,2025/11/18 1:06,,0,,,
匿名,食堂の待ち時間をもっと短縮してほしい。 早く行っても人が多くて、授業が始まるギリギリに教室に戻ることが多い。,2025/11/17 20:16,,0,,,
匿名,電車では声の大きさを調整してほしい。 大きい人がいると休みたくても休めない。,2025/11/17 20:13,,0,,,
匿名,スカートでの防寒対策の選択肢を増やしてほしい。,2025/11/17 17:02,,1,,,
匿名,体育館のシューズを入れるロッカーの通路を広くして欲しい,2025/11/17 16:51,,0,,,
匿名,アイリスグラウンドから見えやすい時計が欲しい,2025/11/17 16:49,,1,,,
匿名,バス停に列を作れるように仕切りを作って欲しい,2025/11/17 16:48,,0,,,
匿名,校内のWi-Fiをもっと整備してほしい クラスに一個ルーターとか,2025/11/17 13:16,,0,,,
匿名,バス停の列。整備しないと、並んでる意味がない,2025/11/17 13:15,,3,,,
